user_location;lat;lon
 Caceres Extremadura ;39,475155;-6,371413;
 PcD Fidel;40,416705;-3,703582;
 A CORUÑA ;43,371209;-8,395877;
 ABUELA? ½ KM de distancia;40,416705;-3,703582;
 AGUSTÍN LARA 36 18008 GRANADA;40,416705;-3,703582;
 Alicante - Madrid;40,416705;-3,703582;
 Arendell;30,785832;-96,72832;
 Asturies;43,313387;-5,94192;
 Av de Madrid, 5 Valdemoro;40,416705;-3,703582;
 Barcelona;41,38256;2,177135;
 Barcelona,Catalunya;41,38256;2,177135;
 Barcelona-Catalogne-Espagne •;41,38256;2,177135;
 Bierzo;27,487655;-110,00279;
 BLUECITA Endless road 7058CD9;40,416705;-3,703582;
 c/Ciudadela nº 6  Zaragoza;41,64882;-0,911267;
 Catia, Caracas, Venezuela;10,516281;-66,945551;
 Dublín. ?;53,349765;-6,260273;
 en este mundo sin sentido ;40,416705;-3,703582;
 ESPAÑA;40,002803;-4,003104;
 Euskal Herria.;42,991182;-2,554302;
 Galiza ;42,61946;-7,863112;
 hipócrita inmoralidad.;40,416705;-3,703582;
 In some place ;40,596328;-122,321542;
 into the deep;40,416705;-3,703582;
 jalisco;20,333333;-103,666667;
 Jerez de los Caballeros.;38,320199;-6,771339;
 la NASA @noelia27atm;7,705006;-72,136007;
 Madrid, España;40,416705;-3,703582;
 MADRID-ESPAÑA;40,416705;-3,703582;
 malfoy. the 1975;-38,095381;145,255855;
 México;19,43253;-99,13321;
 Navalmoral de la Mata;39,892831;-5,54012;
 Ni idea ;40,416705;-3,703582;
- Palencia - ;42,010814;-4,532785;
 Pedagogia;-11,981118;-77,072906;
 Perú;-6,86997;-75,045851;
 Redondela , Galicia;42,284222;-8,608599;
 Sevilla;37,38863;-5,995317;
 sevilla@voxespana.es ;40,416705;-3,703582;
 Spain.;40,002803;-4,003104;
 Tubilla delAgua A 300kmMadrid;40,416705;-3,703582;
 USA/Australia/Tunisia;40,416705;-3,703582;
 Venezuela;8,001871;-66,110932;
 Xalapa, Ver, Mexico;19,527409;-96,923879;
 ZamoraCh - Ecuador ;40,416705;-3,703582;
!Planeta Tierra!;19,540925;-96,946762;
10 ? ?????er ? My new blog??;40,416705;-3,703582;
20agrupovaguada;40,416705;-3,703582;
Alcorcón;40,346762;-3,828632;
Canarias;28,530653;-15,746444;
CDMX - Ciudad de México;40,416705;-3,703582;
Ceuta;35,888361;-5,304138;
Comunidad Valenciana;39,681959;-0,765441;
Córdoba Málaga Sevilla;40,416705;-3,703582;
Durango Vizcaya país vasco;43,170707;-2,63349;
En algun Lugar del Mundo;40,416705;-3,703582;
España Spain Espagne  ;40,416705;-3,703582;
Getafe;40,308181;-3,730268;
La Mejor Venezuela;40,416705;-3,703582;
LaVera Extremadura España;40,416705;-3,703582;
LuchaPorLoQueQuieres;40,416705;-3,703582;
Madrid;40,416705;-3,703582;
Madrid España;40,416705;-3,703582;
Madrid (España);40,416705;-3,703582;
Maracaibo Venezuela;10,665156;-71,623075;
MGWV;40,416705;-3,703582;
NuncaDejesDeCreer ? ATM;40,416705;-3,703582;
ontheroad;40,416705;-3,703582;
Parla;40,237395;-3,77189;
Placeres!!;-36,791144;-72,301809;
Salamanca Donostia;43,324994;-1,982154;
SotodelReal;40,416705;-3,703582;
SquadMp;40,416705;-3,703582;
$hile ,el pais de la libertad;40,416705;-3,703582;
(Burgos) España;42,343926;-3,696977;
(Castillas y Leon) ESPAÑA;40,416705;-3,703582;
(Las Palmas - Madrid) España;40,416705;-3,703582;
(Sarawak,North London) ?;2,392623;113,646867;
* Murcia * - (España).;37,99238;-1,130543;
, España;40,416705;-3,703582;
, Piemonte italia;45,060735;7,923549;
?   Asturias (España)  ?  ;40,416705;-3,703582;
? Costa Blanca Mediterránea ?;40,416705;-3,703582;
? Lidia's Feliciana/Vuk. ;40,416705;-3,703582;
?? (j26e?);40,416705;-3,703582;
????? Ma?r?t - Madrid;40,416705;-3,703582;
??Burgos??;40,416705;-3,703582;
??la de encan?a;40,416705;-3,703582;
?as Palmas de Gran Canaria    /                           Canary Islands ;28,12878;-15,435051;
?Asturiano Indie en Valencia?;40,416705;-3,703582;
?encima de un escenario?;40,416705;-3,703582;
?M1Ö ???Aguilar De Tera ??;40,416705;-3,703582;
?oOº°‘¨ ?pai? & Çá?iz ¨‘°ºOo?;40,416705;-3,703582;
?Siberia-Gasteiz (Euskadi);40,416705;-3,703582;
@AndreaPaz_Albo;40,416705;-3,703582;
@Burgoslavia;40,416705;-3,703582;
@CronicasdelOM;40,416705;-3,703582;
@donnnnnnnnne;40,416705;-3,703582;
@lauramadness_;11,942447;-86,393333;
@pabloalboran;40,416705;-3,703582;
@PauDybala_JR;40,416705;-3,703582;
@redciudadesbici Coordinator16;40,416705;-3,703582;
@rne / @tve_tve C-LM;40,416705;-3,703582;
@SomosChavez2_0 TROPA;-33,857154;-55,540359;
@Tractorismo DURO/FIABLE/LENTO;40,416705;-3,703582;
[657][673] Mi hermana ?;40,416705;-3,703582;
[León];12,619767;-86,591819;
~De alguna parte del mundo~;40,416705;-3,703582;
~Sevillana~ CO;40,712496;-4,139121;
¡Acudimos donde nos necesitan!;40,416705;-3,703582;
¡Afíliate o colabora!;40,416705;-3,703582;
¡Oh capitán! ¡Mi capitán! |RW|;40,416705;-3,703582;
¿Coincidencia acabar aqui? ;40,416705;-3,703582;
¿Suiza: capital? Envé.;40,416705;-3,703582;
+34 95 4618857 Sevilla, España;40,416705;-3,703582;
+34 981 160 462;40,416705;-3,703582;
007/290;34,422936;132,394422;
02/07/2013/Pablo Alborán ;40,416705;-3,703582;
0414 1415217;42,386818;-8,132156;
1 Autonómica | Grupo IV | FFCM;40,416705;-3,703582;
1/31 Unidas por MPA?  ;40,416705;-3,703582;
100% Online;41,724358;44,73018;
10-07-2014 || 06-07-2012 || 24-06-2016;40,416705;-3,703582;
127.0.0.1;40,416705;-3,703582;
1902 , Real Madrid. [28.05];40,416705;-3,703582;
20870-Elgoibar;43,214356;-2,416859;
22 de maig 5 km Sitges;40,416705;-3,703582;
22, ella—she·her /// ESP • ENG;40,416705;-3,703582;
25.673883,-100.321662;25,673985;-100,322118;
"28°28'10.0""N 16°17'34.9""W";40,416705;-3,703582;
28850, MDZ;48,992988;21,232271;
37.360152,-5.988278;37,359928;-5,988257;
3ªRocaBolaPlasmaGalaxiaEspiral;40,416705;-3,703582;
3MSC With Myself;40,416705;-3,703582;
3rd Rock from the Sun;40,416705;-3,703582;
4 privet drive;40,155473;-76,815266;
40.40177, -3,72062;40,416705;-3,703582;
40x20;40,416705;-3,703582;
40x20???|STY.;40,416705;-3,703582;
41.383N 2.183E;40,416705;-3,703582;
42003  Soria, España;41,763384;-2,464204;
43.660029, -7.356729;43,660097;-7,356887;
500 km: Almería-Madrid;40,416705;-3,703582;
6/5/11 ? / @CLizten;40,416705;-3,703582;
60,7 51,1 42,1 32,1 24,7 12,2;40,416705;-3,703582;
641 pesesitos;40,416705;-3,703582;
651 636 193;40,416705;-3,703582;
8 al rojo;40,416705;-3,703582;
900 835 701 Llamada gratuita;40,416705;-3,703582;
97. ALH × Soprano Fieles  RMCF;40,416705;-3,703582;
99.RH0?VACAAS'M SE??AN;40,416705;-3,703582;
A  Coruña;43,371209;-8,395877;
A 886km de aquel 21?;40,416705;-3,703582;
A 92 km de Segovia;40,416705;-3,703582;
a coruna;43,371209;-8,395877;
A Corunha - GALIZA;40,416705;-3,703582;
A Coruña;43,371209;-8,395877;
A Coruña ;43,371209;-8,395877;
A Coruña - Donosti;40,416705;-3,703582;
A Coruña - Galicia - España;40,416705;-3,703582;
A Coruña ? Barcelona;40,416705;-3,703582;
a coruña GZ;40,416705;-3,703582;
a Coruña y Lugo;42,986901;-7,536227;
A Coruña, España;43,371209;-8,395877;
A Coruña, España y vigo;40,416705;-3,703582;
A Coruña, Galicia;43,371209;-8,395877;
A Coruña, Galicia / Barcelona;40,416705;-3,703582;
A Coruña, Galicia, España;40,416705;-3,703582;
A Coruña, Spain;43,371209;-8,395877;
A Coruña-Madrid;40,416705;-3,703582;
A escardar...;40,416705;-3,703582;
A Girona;41,981811;2,810829;
A GUARDA - Galicia - España;41,901245;-8,874217;
a l u n i z a n d o;40,416705;-3,703582;
A la altura del perejil.;40,416705;-3,703582;
A la Mar Mediterrània.;41,215003;1,718877;
A por la tercera;40,416705;-3,703582;
A tomar por culo.;40,416705;-3,703582;
A tres metros del infierno.;40,416705;-3,703582;
A veces aquí, a veces allá.;40,416705;-3,703582;
Abanilla, Región de Murcia;40,416705;-3,703582;
Abrazado a @RayoDe_Luna;40,416705;-3,703582;
Abstenerse Madridistas;40,416705;-3,703582;
Acarigua, Venezuela;9,558;-69,205043;
Accumbens;40,416705;-3,703582;
Achill Island, Ireland;53,952076;-10,008294;
Achinet  ????;40,416705;-3,703582;
Actor malagueño en Madrid;40,416705;-3,703582;
Adeje, España;28,121942;-16,724189;
Administradoras:Pili -Isi;40,416705;-3,703582;
Afganistán;33,000087;64,999847;
afiliado a ciudadanos ATLETICO;40,416705;-3,703582;
Africa;2;16;
África;2;16;
Africa Occidental;-33,792175;19,892979;
